Respondent code,Business Category, Switching to LED Lightning, Implementing Power Management Settings, Regular Maintenance of Equipment, Using Energy-Efficient Appliances, Optimizing HVAC Systems, Adopting Renewable Energy Sources, Implementing Energy Monitoring Systems, Encouraging Behavioral Changes, Upgrading to High-Efficiency Motors and Drives
25,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
26,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
27,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
28,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
29,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
30,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
31,Micro,Applicable,Not Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
32,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
33,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
34,Micro,Applicable,Not Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
35,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
36,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
37,Micro,Applicable,Not Applicable,Applicable,Applicable,Not Applicable,Applicable,Applicable,Applicable,Not Applicable
38,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
39,Micro,Applicable,Not Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
40,Micro,Applicable,Applicable,Applicable,Applicable,Not Applicable,Applicable,Applicable,Applicable,Not Applicable
41,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
42,Micro,Applicable,Applicable,Applicable,Applicable,Not Applicable,Applicable,Applicable,Applicable,Not Applicable
43,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
44,Small,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
45,Micro,Applicable,Not Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
46,Medium,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
47,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
48,Micro,Applicable,Applicable,Applicable,Applicable,Not Applicable,Applicable,Applicable,Applicable,Applicable
49,Micro,Applicable,Not Applicable,Applicable,Applicable,Not Applicable,Applicable,Applicable,Applicable,Not Applicable
50,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Not Applicable
51,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Not Applicable
52,Micro,Applicable,Applicable,Applicable,Applicable,Not Applicable,Applicable,Applicable,Applicable,Applicable
53,Micro,Not Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
54,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
55,Micro,Applicable,Not Applicable,Applicable,Applicable,Not Applicable,Not Applicable,Not Applicable,Applicable,Not Applicable
56,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Not Applicable
57,Micro,Applicable,Not Applicable,Applicable,Applicable,Not Applicable,Applicable,Not Applicable,Applicable,Not Applicable
58,Micro,Applicable,Applicable,Not Applicable,Applicable,Not Applicable,Applicable,Applicable,Applicable,Not Applicable
59,Micro,Not Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
60,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
61,Micro,Not Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
62,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
63,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
64,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
65,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
66,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Not Applicable
67,Micro,Applicable,Applicable,Applicable,Applicable,Not Applicable,Applicable,Applicable,Applicable,Not Applicable
68,Micro,Applicable,Applicable,Applicable,Applicable,Not Applicable,Applicable,Applicable,Applicable,Not Applicable
69,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
70,Micro,Applicable,Not Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
71,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
72,Small,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
73,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
74,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
75,Micro,Applicable,Not Applicable,Applicable,Applicable,Not Applicable,Applicable,Not Applicable,Applicable,Not Applicable
76,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
77,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
78,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
79,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Not Applicable
80,Micro,Applicable,Applicable,Applicable,Applicable,Not Applicable,Applicable,Applicable,Applicable,Not Applicable
81,Micro,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
82,Small,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
83,Small,Applicable,Applicable,Applicable,Applicable,Not Applicable,Not Applicable,Not Applicable,Applicable,Not Applicable
84,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
85,Small,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
86,Small,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
87,Micro,Applicable,Applicable,Applicable,Applicable,Not Applicable,Applicable,Applicable,Applicable,Not Applicable
88,Micro,Applicable,Not Applicable,Applicable,Applicable,Not Applicable,Not Applicable,Not Applicable,Applicable,Not Applicable
89,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
90,Small,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Not Applicable
91,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
92,Micro,Applicable,Applicable,Applicable,Applicable,Not Applicable,Applicable,Applicable,Applicable,Not Applicable
93,Micro,Applicable,Not Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
94,Small,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
95,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
96,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
97,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
98,Micro,Applicable,Applicable,Applicable,Applicable,Not Applicable,Applicable,Applicable,Applicable,Applicable
99,Micro,Applicable,Applicable,Applicable,Applicable,Not Applicable,Applicable,Applicable,Applicable,Not Applicable
100,Micro,Applicable,Not Applicable,Applicable,Applicable,Not Applicable,Applicable,Applicable,Applicable,Not Applicable
101,Micro,Applicable,Not Applicable,Applicable,Applicable,Not Applicable,Applicable,Not Applicable,Applicable,Not Applicable
102,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
103,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
104,Micro,Applicable,Applicable,Not Applicable,Applicable,Not Applicable,Applicable,Applicable,Applicable,Not Applicable
105,Medium,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Not Applicable,Applicable,Applicable
106,Micro,Applicable,Applicable,Applicable,Applicable,Not Applicable,Applicable,Applicable,Applicable,Not Applicable
107,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
108,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
109,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
110,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
111,Medium,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
112,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
113,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
114,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
115,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
116,Micro,Applicable,Not Applicable,Applicable,Applicable,Not Applicable,Applicable,Applicable,Applicable,Not Applicable
117,Small,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
118,Micro,Applicable,Applicable,Not Applicable,Applicable,Not Applicable,Applicable,Applicable,Applicable,Not Applicable
119,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Not Applicable
120,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
121,Micro,Applicable,Applicable,Applicable,Applicable,Not Applicable,Applicable,Applicable,Applicable,Not Applicable
122,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
123,Micro,Applicable,Not Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
124,Micro,Applicable,Not Applicable,Applicable,Applicable,Not Applicable,Not Applicable,Not Applicable,Applicable,Not Applicable
125,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
126,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Not Applicable
127,Micro,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
128,Small,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable,Applicable
129,Micro,Applicable,Not Applicable,Applicable,Applicable,Not Applicable,Applicable,Applicable,Applicable,Not Applicable
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
